direction,result,pnl_pts,pnl_twd,date,month,trigger,offset,target,stop,time_limit
LONG,TIMEOUT,3.0,30.0,2024-01-04,2024-01,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-16.0,-160.0,2024-01-09,2024-01,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-15.0,-150.0,2024-01-10,2024-01,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-3.0,-30.0,2024-01-12,2024-01,期貨日盤收,20,100,50,10
LONG,TIMEOUT,-6.0,-60.0,2024-01-15,2024-01,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,10.0,100.0,2024-01-17,2024-01,期貨日盤收,20,100,50,10
LONG,TIMEOUT,38.0,380.0,2024-01-18,2024-01,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-7.0,-70.0,2024-01-22,2024-01,期貨日盤收,20,100,50,10
LONG,TIMEOUT,-1.0,-10.0,2024-01-23,2024-01,期貨日盤收,20,100,50,10
LONG,TIMEOUT,5.0,50.0,2024-01-25,2024-01,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,4.0,40.0,2024-01-30,2024-01,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,2.0,20.0,2024-02-01,2024-02,期貨日盤收,20,100,50,10
LONG,TIMEOUT,9.0,90.0,2024-02-15,2024-02,期貨日盤收,20,100,50,10
LONG,TIMEOUT,10.0,100.0,2024-02-20,2024-02,期貨日盤收,20,100,50,10
LONG,TIMEOUT,-8.0,-80.0,2024-02-22,2024-02,期貨日盤收,20,100,50,10
LONG,TIMEOUT,12.0,120.0,2024-03-04,2024-03,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-1.0,-10.0,2024-03-07,2024-03,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-27.0,-270.0,2024-03-08,2024-03,期貨日盤收,20,100,50,10
LONG,TIMEOUT,19.0,190.0,2024-03-11,2024-03,期貨日盤收,20,100,50,10
LONG,TIMEOUT,-10.0,-100.0,2024-03-13,2024-03,期貨日盤收,20,100,50,10
LONG,TIMEOUT,-13.0,-130.0,2024-03-14,2024-03,期貨日盤收,20,100,50,10
LONG,TIMEOUT,-6.0,-60.0,2024-03-15,2024-03,期貨日盤收,20,100,50,10
LONG,TIMEOUT,7.0,70.0,2024-03-21,2024-03,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-2.0,-20.0,2024-03-22,2024-03,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-5.0,-50.0,2024-03-25,2024-03,期貨日盤收,20,100,50,10
LONG,TIMEOUT,-7.0,-70.0,2024-03-26,2024-03,期貨日盤收,20,100,50,10
LONG,TIMEOUT,31.0,310.0,2024-03-29,2024-03,期貨日盤收,20,100,50,10
LONG,TIMEOUT,0.0,0.0,2024-04-02,2024-04,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-17.0,-170.0,2024-04-11,2024-04,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,-6.0,-60.0,2024-04-16,2024-04,期貨日盤收,20,100,50,10
SHORT,TIMEOUT,15.0,150.0,2024-04-17,2024-04,期貨日盤收,20,100,50,10
LONG,TIMEOUT,37.0,370.0,2024-04-18,2024-04,期貨日盤收,20,100,50,10
SHORT,STOP,-54.0,-540.0,2024-04-19,2024-04,期貨日盤收,20,100,50,10
LONG,TIMEOUT,7.0,70.0,2024-04-22,2024-04,期貨日盤收,20,100,50,10
