trigger,target,stop,time_limit,trades,tp_rate,sl_rate,timeout_rate,win_rate,total_pnl,avg_pnl,loss_avg,profit_factor,expect_val,sharpe,section
08:46,3,0,3,242,89.7,0.0,10.3,0.0,-12300,-51.0,-40.5,0.0,-50.8,-5.47,08:46
08:46,3,5,3,242,87.2,12.4,0.4,0.0,-4850,-20.0,-8.8,0.0,-20.0,-12.03,08:46
08:46,3,10,3,242,87.2,12.4,0.4,0.0,-6350,-26.0,-13.7,0.0,-26.2,-9.7,08:46
08:46,3,15,3,242,87.2,12.4,0.4,0.0,-7850,-32.0,-18.5,0.0,-32.4,-8.67,08:46
08:46,3,20,3,242,87.6,12.0,0.4,0.0,-9120,-38.0,-23.3,0.0,-37.7,-7.99,08:46
08:46,3,30,3,242,88.8,9.1,2.1,0.0,-10170,-42.0,-29.7,0.0,-42.0,-6.97,08:46
08:46,3,0,5,242,90.1,0.0,9.9,0.0,-12270,-51.0,-42.0,0.0,-50.7,-5.33,08:46
08:46,3,5,5,242,87.2,12.4,0.4,0.0,-4850,-20.0,-8.8,0.0,-20.0,-12.03,08:46
08:46,3,10,5,242,87.2,12.4,0.4,0.0,-6350,-26.0,-13.7,0.0,-26.2,-9.7,08:46
08:46,3,15,5,242,87.2,12.4,0.4,0.0,-7850,-32.0,-18.5,0.0,-32.4,-8.67,08:46
08:46,3,20,5,242,87.6,12.0,0.4,0.0,-9120,-38.0,-23.3,0.0,-37.7,-7.99,08:46
08:46,3,30,5,242,89.3,9.1,1.7,0.0,-10050,-42.0,-30.3,0.0,-41.5,-6.91,08:46
08:46,3,0,10,242,91.7,0.0,8.3,0.0,-12120,-50.0,-49.5,0.0,-50.1,-4.8,08:46
08:46,3,5,10,242,87.2,12.4,0.4,0.0,-4850,-20.0,-8.8,0.0,-20.0,-12.03,08:46
08:46,3,10,10,242,87.2,12.4,0.4,0.0,-6350,-26.0,-13.7,0.0,-26.2,-9.7,08:46
08:46,3,15,10,242,87.2,12.4,0.4,0.0,-7850,-32.0,-18.5,0.0,-32.4,-8.67,08:46
08:46,3,20,10,242,87.6,12.0,0.4,0.0,-9120,-38.0,-23.3,0.0,-37.7,-7.99,08:46
08:46,3,30,10,242,89.7,9.1,1.2,0.0,-9920,-41.0,-31.0,0.0,-41.0,-6.83,08:46
08:46,3,0,15,242,92.6,0.0,7.4,0.0,-12220,-50.0,-55.4,0.0,-50.5,-4.64,08:46
08:46,3,5,15,242,87.2,12.4,0.4,0.0,-4850,-20.0,-8.8,0.0,-20.0,-12.03,08:46
08:46,3,10,15,242,87.2,12.4,0.4,0.0,-6350,-26.0,-13.7,0.0,-26.2,-9.7,08:46
08:46,3,15,15,242,87.2,12.4,0.4,0.0,-7850,-32.0,-18.5,0.0,-32.4,-8.67,08:46
08:46,3,20,15,242,87.6,12.0,0.4,0.0,-9120,-38.0,-23.3,0.0,-37.7,-7.99,08:46
08:46,3,30,15,242,90.1,9.1,0.8,0.0,-9800,-40.0,-31.8,0.0,-40.5,-6.76,08:46
08:46,3,0,20,242,94.6,0.0,5.4,0.0,-12690,-52.0,-80.0,0.0,-52.4,-4.02,08:46
08:46,3,5,20,242,87.2,12.4,0.4,0.0,-4850,-20.0,-8.8,0.0,-20.0,-12.03,08:46
08:46,3,10,20,242,87.2,12.4,0.4,0.0,-6350,-26.0,-13.7,0.0,-26.2,-9.7,08:46
08:46,3,15,20,242,87.2,12.4,0.4,0.0,-7850,-32.0,-18.5,0.0,-32.4,-8.67,08:46
08:46,3,20,20,242,87.6,12.0,0.4,0.0,-9120,-38.0,-23.3,0.0,-37.7,-7.99,08:46
08:46,3,30,20,242,90.5,9.1,0.4,0.0,-9710,-40.0,-32.7,0.0,-40.1,-6.7,08:46
08:46,5,0,3,242,87.2,0.0,12.8,87.2,-8690,-36.0,-34.8,0.2,-35.9,-3.71,08:46
08:46,5,5,3,242,83.1,16.5,0.4,83.1,-1630,-7.0,-8.9,0.55,-6.7,-2.87,08:46
08:46,5,10,3,242,83.5,16.1,0.4,83.5,-3480,-14.0,-13.8,0.37,-14.4,-4.13,08:46
08:46,5,15,3,242,83.5,16.1,0.4,83.5,-5430,-22.0,-18.6,0.27,-22.4,-4.84,08:46
08:46,5,20,3,242,84.3,14.9,0.8,84.3,-6680,-28.0,-22.9,0.23,-27.6,-4.92,08:46
08:46,5,30,3,242,86.0,10.3,3.7,86.0,-7310,-30.0,-27.6,0.22,-30.2,-4.44,08:46
08:46,5,0,5,242,88.4,0.0,11.6,88.4,-8830,-36.0,-39.2,0.2,-36.5,-3.66,08:46
08:46,5,5,5,242,83.1,16.5,0.4,83.1,-1630,-7.0,-8.9,0.55,-6.7,-2.87,08:46
08:46,5,10,5,242,83.5,16.1,0.4,83.5,-3480,-14.0,-13.8,0.37,-14.4,-4.13,08:46
08:46,5,15,5,242,83.5,16.1,0.4,83.5,-5430,-22.0,-18.6,0.27,-22.4,-4.84,08:46
08:46,5,20,5,242,84.7,14.9,0.4,84.7,-6630,-27.0,-23.5,0.24,-27.4,-4.88,08:46
08:46,5,30,5,242,86.8,10.3,2.9,86.8,-7340,-30.0,-29.5,0.22,-30.3,-4.43,08:46
08:46,5,0,10,242,90.5,0.0,9.5,90.5,-8560,-35.0,-46.7,0.2,-35.4,-3.26,08:46
08:46,5,5,10,242,83.1,16.5,0.4,83.1,-1630,-7.0,-8.9,0.55,-6.7,-2.87,08:46
08:46,5,10,10,242,83.5,16.1,0.4,83.5,-3480,-14.0,-13.8,0.37,-14.4,-4.13,08:46
08:46,5,15,10,242,83.5,16.1,0.4,83.5,-5430,-22.0,-18.6,0.27,-22.4,-4.84,08:46
08:46,5,20,10,242,84.7,14.9,0.4,84.7,-6630,-27.0,-23.5,0.24,-27.4,-4.88,08:46
08:46,5,30,10,242,87.6,10.7,1.7,87.6,-7260,-30.0,-31.3,0.23,-30.0,-4.33,08:46
08:46,5,0,15,242,91.7,0.0,8.3,91.7,-8520,-35.0,-53.7,0.21,-35.2,-3.08,08:46
08:46,5,5,15,242,83.1,16.5,0.4,83.1,-1630,-7.0,-8.9,0.55,-6.7,-2.87,08:46
08:46,5,10,15,242,83.5,16.1,0.4,83.5,-3480,-14.0,-13.8,0.37,-14.4,-4.13,08:46
08:46,5,15,15,242,83.5,16.1,0.4,83.5,-5430,-22.0,-18.6,0.27,-22.4,-4.84,08:46
08:46,5,20,15,242,84.7,14.9,0.4,84.7,-6630,-27.0,-23.5,0.24,-27.4,-4.88,08:46
08:46,5,30,15,242,88.0,11.2,0.8,88.0,-7190,-30.0,-32.1,0.23,-29.7,-4.27,08:46
08:46,5,0,20,242,94.2,0.0,5.8,94.2,-8440,-35.0,-76.6,0.21,-34.9,-2.62,08:46
08:46,5,5,20,242,83.1,16.5,0.4,83.1,-1630,-7.0,-8.9,0.55,-6.7,-2.87,08:46
08:46,5,10,20,242,83.5,16.1,0.4,83.5,-3480,-14.0,-13.8,0.37,-14.4,-4.13,08:46
08:46,5,15,20,242,83.5,16.1,0.4,83.5,-5430,-22.0,-18.6,0.27,-22.4,-4.84,08:46
08:46,5,20,20,242,84.7,14.9,0.4,84.7,-6630,-27.0,-23.5,0.24,-27.4,-4.88,08:46
08:46,5,30,20,242,88.4,11.2,0.4,88.4,-7080,-29.0,-32.9,0.23,-29.3,-4.21,08:46
08:46,8,0,3,242,81.4,0.0,18.6,81.4,-6930,-29.0,-32.9,0.53,-28.6,-2.43,08:46
08:46,8,5,3,242,74.8,24.8,0.4,74.8,1800,7.0,-8.9,1.33,7.4,2.1,08:46
08:46,8,10,3,242,75.6,24.0,0.4,75.6,-840,-3.0,-13.8,0.9,-3.5,-0.72,08:46
08:46,8,15,3,242,76.0,23.6,0.4,76.0,-3510,-15.0,-18.7,0.68,-14.5,-2.36,08:46
08:46,8,20,3,242,77.3,21.5,1.2,77.3,-5160,-21.0,-23.0,0.59,-21.3,-2.94,08:46
08:46,8,30,3,242,79.3,13.6,7.0,79.3,-5210,-22.0,-25.8,0.6,-21.5,-2.58,08:46
08:46,8,0,5,242,84.3,0.0,15.7,84.7,-6650,-27.0,-39.0,0.57,-27.5,-2.32,08:46
08:46,8,5,5,242,74.8,24.8,0.4,74.8,1800,7.0,-8.9,1.33,7.4,2.1,08:46
08:46,8,10,5,242,75.6,24.0,0.4,75.6,-840,-3.0,-13.8,0.9,-3.5,-0.72,08:46
08:46,8,15,5,242,76.0,23.6,0.4,76.0,-3510,-15.0,-18.7,0.68,-14.5,-2.36,08:46
08:46,8,20,5,242,77.7,21.5,0.8,78.1,-4990,-21.0,-23.2,0.61,-20.6,-2.84,08:46
08:46,8,30,5,242,81.8,14.0,4.1,82.2,-5010,-21.0,-29.4,0.63,-20.7,-2.43,08:46
08:46,8,0,10,242,86.8,0.0,13.2,86.8,-6300,-26.0,-45.9,0.59,-26.0,-2.03,08:46
08:46,8,5,10,242,74.8,24.8,0.4,74.8,1800,7.0,-8.9,1.33,7.4,2.1,08:46
08:46,8,10,10,242,75.6,24.0,0.4,75.6,-840,-3.0,-13.8,0.9,-3.5,-0.72,08:46
08:46,8,15,10,242,76.0,23.6,0.4,76.0,-3510,-15.0,-18.7,0.68,-14.5,-2.36,08:46
08:46,8,20,10,242,78.1,21.5,0.4,78.1,-4960,-20.0,-23.6,0.6,-20.5,-2.82,08:46
08:46,8,30,10,242,83.1,14.9,2.1,83.1,-4740,-20.0,-31.2,0.64,-19.6,-2.28,08:46
08:46,8,0,15,242,87.6,0.0,12.4,88.0,-8080,-33.0,-55.2,0.53,-33.4,-2.31,08:46
08:46,8,5,15,242,74.8,24.8,0.4,74.8,1800,7.0,-8.9,1.33,7.4,2.1,08:46
08:46,8,10,15,242,75.6,24.0,0.4,75.6,-840,-3.0,-13.8,0.9,-3.5,-0.72,08:46
08:46,8,15,15,242,76.0,23.6,0.4,76.0,-3510,-15.0,-18.7,0.68,-14.5,-2.36,08:46
08:46,8,20,15,242,78.1,21.5,0.4,78.1,-4960,-20.0,-23.6,0.6,-20.5,-2.82,08:46
08:46,8,30,15,242,83.5,15.3,1.2,83.5,-4910,-20.0,-32.5,0.62,-20.3,-2.34,08:46
08:46,8,0,20,242,91.3,0.0,8.7,91.3,-6530,-27.0,-73.2,0.58,-27.0,-1.72,08:46
08:46,8,5,20,242,74.8,24.8,0.4,74.8,1800,7.0,-8.9,1.33,7.4,2.1,08:46
08:46,8,10,20,242,75.6,24.0,0.4,75.6,-840,-3.0,-13.8,0.9,-3.5,-0.72,08:46
08:46,8,15,20,242,76.0,23.6,0.4,76.0,-3510,-15.0,-18.7,0.68,-14.5,-2.36,08:46
08:46,8,20,20,242,78.1,21.5,0.4,78.1,-4960,-20.0,-23.6,0.6,-20.5,-2.82,08:46
08:46,8,30,20,242,83.9,15.7,0.4,83.9,-4840,-20.0,-33.2,0.63,-20.0,-2.29,08:46
08:46,10,0,3,242,76.9,0.0,23.1,77.3,-5800,-24.0,-30.3,0.67,-24.0,-1.92,08:46
08:46,10,5,3,242,70.2,29.3,0.4,70.2,3770,16.0,-8.9,1.59,15.6,3.61,08:46
