mode,param1,param2,label,trades,win_rate,ev_pts,ev_twd,total_pnl,sharpe,pf
trailing,3,0,trailing(trail=3),325,81.8,23.551,235.5,76540.0,11.2,39.08
trailing,5,0,trailing(trail=5),325,75.7,21.563,215.6,70080.0,10.26,22.43
partial_tp,5,20,"partial_tp(p=5,t=20)",325,58.8,3.6,36.0,11700.0,9.21,3.58
partial_tp,8,20,"partial_tp(p=8,t=20)",325,58.5,4.243,42.4,13790.0,9.1,3.65
partial_tp,8,30,"partial_tp(p=8,t=30)",325,45.8,5.274,52.7,17140.0,8.84,4.29
trailing,8,0,trailing(trail=8),325,67.1,18.582,185.8,60390.0,8.84,11.27
partial_tp,5,30,"partial_tp(p=5,t=30)",325,45.8,4.6,46.0,14950.0,8.62,3.89
partial_tp,5,15,"partial_tp(p=5,t=15)",325,66.8,2.731,27.3,8875.0,8.6,3.14
partial_tp,10,30,"partial_tp(p=10,t=30)",325,75.7,5.477,54.8,17800.0,8.41,3.54
partial_tp,10,20,"partial_tp(p=10,t=20)",325,75.7,4.446,44.5,14450.0,8.41,3.06
partial_tp,8,15,"partial_tp(p=8,t=15)",325,66.2,3.358,33.6,10915.0,8.4,3.1
partial_tp,10,25,"partial_tp(p=10,t=25)",325,75.7,4.946,49.5,16075.0,8.39,3.29
trailing,10,0,trailing(trail=10),325,61.2,16.594,165.9,53930.0,7.9,7.68
trailing,12,0,trailing(trail=12),325,58.8,14.606,146.1,47470.0,6.95,5.49
partial_tp,5,10,"partial_tp(p=5,t=10)",325,77.8,1.615,16.2,5250.0,6.51,2.46
full_tp,12,0,full_tp(tgt=12),325,70.2,2.957,29.6,9610.0,6.06,2.11
full_tp,10,0,full_tp(tgt=10),325,75.7,2.385,23.8,7750.0,5.92,2.11
full_tp,20,0,full_tp(tgt=20),325,54.2,4.569,45.7,14850.0,5.84,2.12
full_tp,15,0,full_tp(tgt=15),325,61.8,3.4,34.0,11050.0,5.57,2.0
trailing,15,0,trailing(trail=15),325,52.9,11.625,116.2,37780.0,5.54,3.57
full_tp,8,0,full_tp(tgt=8),325,81.8,1.671,16.7,5430.0,5.35,2.04
full_tp,25,0,full_tp(tgt=25),325,44.9,4.508,45.1,14650.0,4.8,1.92
full_tp,30,0,full_tp(tgt=30),325,38.2,4.385,43.8,14250.0,4.1,1.79
trailing,20,0,trailing(trail=20),325,44.9,7.505,75.0,24390.0,3.58,2.12
trailing_cons,12,0,trailing_cons(trail=12),325,38.2,4.062,40.6,13200.0,1.9,1.43
trailing_cons,15,0,trailing_cons(trail=15),325,39.1,3.588,35.9,11660.0,1.65,1.35
trailing_cons,10,0,trailing_cons(trail=10),325,33.5,3.298,33.0,10720.0,1.59,1.37
trailing_cons,20,0,trailing_cons(trail=20),325,39.4,3.385,33.8,11000.0,1.48,1.3
trailing_cons,8,0,trailing_cons(trail=8),325,27.4,1.905,19.0,6190.0,0.99,1.22
trailing_cons,5,0,trailing_cons(trail=5),325,19.7,1.154,11.5,3750.0,0.65,1.16
trailing_cons,3,0,trailing_cons(trail=3),325,16.3,0.837,8.4,2720.0,0.58,1.14
full_tp,5,0,full_tp(tgt=5),325,89.2,-0.046,-0.5,-150.0,-0.24,0.95
