result,exit_pts,pnl_pts,mode,param1,param2,label,date,month
TP,5.0,1.0,full_tp,5,0,full_tp(tgt=5),2024-01-04,2024-01
TP,8.0,4.0,full_tp,8,0,full_tp(tgt=8),2024-01-04,2024-01
TP,10.0,6.0,full_tp,10,0,full_tp(tgt=10),2024-01-04,2024-01
TP,12.0,8.0,full_tp,12,0,full_tp(tgt=12),2024-01-04,2024-01
TP,15.0,11.0,full_tp,15,0,full_tp(tgt=15),2024-01-04,2024-01
TP,20.0,16.0,full_tp,20,0,full_tp(tgt=20),2024-01-04,2024-01
TP,25.0,21.0,full_tp,25,0,full_tp(tgt=25),2024-01-04,2024-01
SL,-5.0,-9.0,full_tp,30,0,full_tp(tgt=30),2024-01-04,2024-01
TP_FULL,7.5,3.5,partial_tp,5,10,"partial_tp(p=5,t=10)",2024-01-04,2024-01
TP_FULL,10.0,6.0,partial_tp,5,15,"partial_tp(p=5,t=15)",2024-01-04,2024-01
TP_FULL,12.5,8.5,partial_tp,5,20,"partial_tp(p=5,t=20)",2024-01-04,2024-01
SL_BE,2.5,-1.5,partial_tp,5,30,"partial_tp(p=5,t=30)",2024-01-04,2024-01
TP_FULL,11.5,7.5,partial_tp,8,15,"partial_tp(p=8,t=15)",2024-01-04,2024-01
TP_FULL,14.0,10.0,partial_tp,8,20,"partial_tp(p=8,t=20)",2024-01-04,2024-01
SL_BE,4.0,0.0,partial_tp,8,30,"partial_tp(p=8,t=30)",2024-01-04,2024-01
TP_FULL,15.0,11.0,partial_tp,10,20,"partial_tp(p=10,t=20)",2024-01-04,2024-01
TP_FULL,17.5,13.5,partial_tp,10,25,"partial_tp(p=10,t=25)",2024-01-04,2024-01
SL_BE,5.0,1.0,partial_tp,10,30,"partial_tp(p=10,t=30)",2024-01-04,2024-01
TRAIL,24.0,20.0,trailing,3,0,trailing(trail=3),2024-01-04,2024-01
TRAIL,22.0,18.0,trailing,5,0,trailing(trail=5),2024-01-04,2024-01
TRAIL,19.0,15.0,trailing,8,0,trailing(trail=8),2024-01-04,2024-01
TRAIL,17.0,13.0,trailing,10,0,trailing(trail=10),2024-01-04,2024-01
