result,pnl,tick,date,month,stock
TP,1645.4600000000005,1,2026-03-02,2026-03,6805
TP,6645.460000000001,2,2026-03-02,2026-03,6805
TP,11645.460000000001,3,2026-03-02,2026-03,6805
TP,21645.46,5,2026-03-02,2026-03,6805
TP,36645.46,8,2026-03-02,2026-03,6805
TP,2867.96,1,2026-03-02,2026-03,2404
TP,7867.96,2,2026-03-02,2026-03,2404
TP,12867.96,3,2026-03-02,2026-03,2404
TP,22867.96,5,2026-03-02,2026-03,2404
TIMEOUT,-17132.04,8,2026-03-02,2026-03,2404
TP,2026.88,1,2026-03-02,2026-03,3491
TP,7026.88,2,2026-03-02,2026-03,3491
TP,12026.880000000001,3,2026-03-02,2026-03,3491
TP,22026.88,5,2026-03-02,2026-03,3491
TP,37026.88,8,2026-03-02,2026-03,3491
TP,275.06000000000006,1,2026-03-02,2026-03,2344
TP,775.0600000000001,2,2026-03-02,2026-03,2344
TP,1275.06,3,2026-03-02,2026-03,2344
TP,2275.06,5,2026-03-02,2026-03,2344
TP,3775.06,8,2026-03-02,2026-03,2344
TP,165.524,1,2026-03-02,2026-03,1513
TP,665.524,2,2026-03-02,2026-03,1513
TP,1165.524,3,2026-03-02,2026-03,1513
TP,2165.524,5,2026-03-02,2026-03,1513
TP,3665.524,8,2026-03-02,2026-03,1513
TP,196.82000000000005,1,2026-03-02,2026-03,1773
TP,696.82,2,2026-03-02,2026-03,1773
TP,1196.8200000000002,3,2026-03-02,2026-03,1773
TP,2196.82,5,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,8,2026-03-02,2026-03,1773
TP,141.074,1,2026-03-02,2026-03,2645
TP,641.0740000000001,2,2026-03-02,2026-03,2645
TP,1141.074,3,2026-03-02,2026-03,2645
TP,2141.074,5,2026-03-02,2026-03,2645
TIMEOUT,-8358.926,8,2026-03-02,2026-03,2645
TP,183.128,1,2026-03-02,2026-03,6919
TP,683.1279999999999,2,2026-03-02,2026-03,6919
TIMEOUT,-4316.872,3,2026-03-02,2026-03,6919
TIMEOUT,-4316.872,5,2026-03-02,2026-03,6919
TIMEOUT,-4316.872,8,2026-03-02,2026-03,6919
TP,293.64200000000005,1,2026-03-02,2026-03,2337
TP,793.642,2,2026-03-02,2026-03,2337
TP,1293.642,3,2026-03-02,2026-03,2337
TP,2293.642,5,2026-03-02,2026-03,2337
TP,3793.642,8,2026-03-02,2026-03,2337
TP,2779.9400000000005,1,2026-03-02,2026-03,1590
TP,7779.9400000000005,2,2026-03-02,2026-03,1590
TP,12779.94,3,2026-03-02,2026-03,1590
TP,22779.940000000002,5,2026-03-02,2026-03,1590
TP,37779.94,8,2026-03-02,2026-03,1590
TP,261.36800000000005,1,2026-03-02,2026-03,2385
TP,761.368,2,2026-03-02,2026-03,2385
TP,1261.368,3,2026-03-02,2026-03,2385
TP,2261.368,5,2026-03-02,2026-03,2385
TP,3761.368,8,2026-03-02,2026-03,2385
TP,2740.82,1,2026-03-02,2026-03,6781
TP,7740.82,2,2026-03-02,2026-03,6781
TP,12740.82,3,2026-03-02,2026-03,6781
TP,22740.82,5,2026-03-02,2026-03,6781
TIMEOUT,22740.82,8,2026-03-02,2026-03,6781
TIMEOUT,-1876.53,1,2026-03-02,2026-03,8454
TIMEOUT,-1876.53,2,2026-03-02,2026-03,8454
TIMEOUT,-1876.53,3,2026-03-02,2026-03,8454
TIMEOUT,-1876.53,5,2026-03-02,2026-03,8454
TIMEOUT,-1876.53,8,2026-03-02,2026-03,8454
TP,275.06000000000006,1,2026-03-02,2026-03,5483
TP,775.0600000000001,2,2026-03-02,2026-03,5483
TP,1275.06,3,2026-03-02,2026-03,5483
TIMEOUT,775.0600000000001,5,2026-03-02,2026-03,5483
TIMEOUT,775.0600000000001,8,2026-03-02,2026-03,5483
TP,2838.6200000000003,1,2026-03-02,2026-03,3324
TP,7838.620000000001,2,2026-03-02,2026-03,3324
TP,12838.62,3,2026-03-02,2026-03,3324
TP,22838.62,5,2026-03-02,2026-03,3324
TP,37838.62,8,2026-03-02,2026-03,3324
TP,2525.6600000000003,1,2026-03-02,2026-03,5269
TP,7525.66,2,2026-03-02,2026-03,5269
TP,12525.66,3,2026-03-02,2026-03,5269
TP,22525.66,5,2026-03-02,2026-03,5269
TP,37525.66,8,2026-03-02,2026-03,5269
TP,292.664,1,2026-03-02,2026-03,9917
TP,792.664,2,2026-03-02,2026-03,9917
TIMEOUT,792.664,3,2026-03-02,2026-03,9917
TIMEOUT,792.664,5,2026-03-02,2026-03,9917
TIMEOUT,792.664,8,2026-03-02,2026-03,9917
TIMEOUT,-840.344,1,2026-03-02,2026-03,2597
TIMEOUT,-840.344,2,2026-03-02,2026-03,2597
TIMEOUT,-840.344,3,2026-03-02,2026-03,2597
TIMEOUT,-840.344,5,2026-03-02,2026-03,2597
TIMEOUT,-840.344,8,2026-03-02,2026-03,2597
TP,128.36,1,2026-03-02,2026-03,2474
TP,628.36,2,2026-03-02,2026-03,2474
TP,1128.3600000000001,3,2026-03-02,2026-03,2474
TIMEOUT,128.36,5,2026-03-02,2026-03,2474
TIMEOUT,128.36,8,2026-03-02,2026-03,2474
TP,275.06000000000006,1,2026-03-02,2026-03,3005
TP,775.0600000000001,2,2026-03-02,2026-03,3005
TP,1275.06,3,2026-03-02,2026-03,3005
TP,2275.06,5,2026-03-02,2026-03,3005
TP,3775.06,8,2026-03-02,2026-03,3005
TP,290.708,1,2026-03-02,2026-03,3045
TP,790.7080000000001,2,2026-03-02,2026-03,3045
TP,1290.708,3,2026-03-02,2026-03,3045
TIMEOUT,1290.708,5,2026-03-02,2026-03,3045
TIMEOUT,1290.708,8,2026-03-02,2026-03,3045
TP,251.58800000000002,1,2026-03-02,2026-03,5347
TP,751.588,2,2026-03-02,2026-03,5347
TP,1251.588,3,2026-03-02,2026-03,5347
TP,2251.588,5,2026-03-02,2026-03,5347
TP,3751.588,8,2026-03-02,2026-03,5347
TP,296.576,1,2026-03-02,2026-03,5871
TP,796.576,2,2026-03-02,2026-03,5871
TIMEOUT,-1703.424,3,2026-03-02,2026-03,5871
TIMEOUT,-1703.424,5,2026-03-02,2026-03,5871
TIMEOUT,-1703.424,8,2026-03-02,2026-03,5871
TP,242.786,1,2026-03-02,2026-03,3231
TP,742.7860000000001,2,2026-03-02,2026-03,3231
TP,1242.786,3,2026-03-02,2026-03,3231
TP,2242.786,5,2026-03-02,2026-03,3231
TP,3742.786,8,2026-03-02,2026-03,3231
TP,235.94000000000005,1,2026-03-02,2026-03,2412
TP,735.94,2,2026-03-02,2026-03,2412
TP,1235.94,3,2026-03-02,2026-03,2412
TP,2235.94,5,2026-03-02,2026-03,2412
TIMEOUT,2735.94,8,2026-03-02,2026-03,2412
TP,297.554,1,2026-03-02,2026-03,1815
TP,797.554,2,2026-03-02,2026-03,1815
TP,1297.554,3,2026-03-02,2026-03,1815
TP,2297.554,5,2026-03-02,2026-03,1815
TP,3797.554,8,2026-03-02,2026-03,1815
TP,255.50000000000003,1,2026-03-03,2026-03,3005
TP,755.5,2,2026-03-03,2026-03,3005
TP,1255.5,3,2026-03-03,2026-03,3005
TIMEOUT,-2244.5,5,2026-03-03,2026-03,3005
TIMEOUT,-2244.5,8,2026-03-03,2026-03,3005
TP,1479.2000000000003,1,2026-03-03,2026-03,3491
TP,6479.200000000001,2,2026-03-03,2026-03,3491
TP,11479.2,3,2026-03-03,2026-03,3491
TP,21479.2,5,2026-03-03,2026-03,3491
TP,36479.2,8,2026-03-03,2026-03,3491
TP,272.126,1,2026-03-03,2026-03,2337
TP,772.126,2,2026-03-03,2026-03,2337
TIMEOUT,-12227.874,3,2026-03-03,2026-03,2337
TIMEOUT,-12227.874,5,2026-03-03,2026-03,2337
TIMEOUT,-12227.874,8,2026-03-03,2026-03,2337
TIMEOUT,-57425.44,1,2026-03-03,2026-03,1590
TIMEOUT,-57425.44,2,2026-03-03,2026-03,1590
TIMEOUT,-57425.44,3,2026-03-03,2026-03,1590
TIMEOUT,-57425.44,5,2026-03-03,2026-03,1590
TIMEOUT,-57425.44,8,2026-03-03,2026-03,1590
TP,231.05,1,2026-03-03,2026-03,2412
TIMEOUT,231.05,2,2026-03-03,2026-03,2412
TIMEOUT,231.05,3,2026-03-03,2026-03,2412
TIMEOUT,231.05,5,2026-03-03,2026-03,2412
