result,pnl,tick,time_window,date,month,stock
TP,1645.4600000000005,1,5,2026-03-02,2026-03,6805
TP,1645.4600000000005,1,10,2026-03-02,2026-03,6805
TP,1645.4600000000005,1,15,2026-03-02,2026-03,6805
TP,6645.460000000001,2,5,2026-03-02,2026-03,6805
TP,6645.460000000001,2,10,2026-03-02,2026-03,6805
TP,6645.460000000001,2,15,2026-03-02,2026-03,6805
TP,11645.460000000001,3,5,2026-03-02,2026-03,6805
TP,11645.460000000001,3,10,2026-03-02,2026-03,6805
TP,11645.460000000001,3,15,2026-03-02,2026-03,6805
TIMEOUT,1645.4600000000005,5,5,2026-03-02,2026-03,6805
TP,21645.46,5,10,2026-03-02,2026-03,6805
TP,21645.46,5,15,2026-03-02,2026-03,6805
TIMEOUT,1645.4600000000005,8,5,2026-03-02,2026-03,6805
TP,36645.46,8,10,2026-03-02,2026-03,6805
TP,36645.46,8,15,2026-03-02,2026-03,6805
TIMEOUT,-17132.04,1,5,2026-03-02,2026-03,2404
TIMEOUT,-27132.04,1,10,2026-03-02,2026-03,2404
TIMEOUT,-7132.04,1,15,2026-03-02,2026-03,2404
TIMEOUT,-17132.04,2,5,2026-03-02,2026-03,2404
TIMEOUT,-27132.04,2,10,2026-03-02,2026-03,2404
TIMEOUT,-7132.04,2,15,2026-03-02,2026-03,2404
TIMEOUT,-17132.04,3,5,2026-03-02,2026-03,2404
TIMEOUT,-27132.04,3,10,2026-03-02,2026-03,2404
TIMEOUT,-7132.04,3,15,2026-03-02,2026-03,2404
TIMEOUT,-17132.04,5,5,2026-03-02,2026-03,2404
TIMEOUT,-27132.04,5,10,2026-03-02,2026-03,2404
TIMEOUT,-7132.04,5,15,2026-03-02,2026-03,2404
TIMEOUT,-17132.04,8,5,2026-03-02,2026-03,2404
TIMEOUT,-27132.04,8,10,2026-03-02,2026-03,2404
TIMEOUT,-7132.04,8,15,2026-03-02,2026-03,2404
TP,2026.88,1,5,2026-03-02,2026-03,3491
TP,2026.88,1,10,2026-03-02,2026-03,3491
TP,2026.88,1,15,2026-03-02,2026-03,3491
TP,7026.88,2,5,2026-03-02,2026-03,3491
TP,7026.88,2,10,2026-03-02,2026-03,3491
TP,7026.88,2,15,2026-03-02,2026-03,3491
TP,12026.880000000001,3,5,2026-03-02,2026-03,3491
TP,12026.880000000001,3,10,2026-03-02,2026-03,3491
TP,12026.880000000001,3,15,2026-03-02,2026-03,3491
TP,22026.88,5,5,2026-03-02,2026-03,3491
TP,22026.88,5,10,2026-03-02,2026-03,3491
TP,22026.88,5,15,2026-03-02,2026-03,3491
TP,37026.88,8,5,2026-03-02,2026-03,3491
TP,37026.88,8,10,2026-03-02,2026-03,3491
TP,37026.88,8,15,2026-03-02,2026-03,3491
TP,275.06000000000006,1,5,2026-03-02,2026-03,2344
TP,275.06000000000006,1,10,2026-03-02,2026-03,2344
TP,275.06000000000006,1,15,2026-03-02,2026-03,2344
TP,775.0600000000001,2,5,2026-03-02,2026-03,2344
TP,775.0600000000001,2,10,2026-03-02,2026-03,2344
TP,775.0600000000001,2,15,2026-03-02,2026-03,2344
TP,1275.06,3,5,2026-03-02,2026-03,2344
TP,1275.06,3,10,2026-03-02,2026-03,2344
TP,1275.06,3,15,2026-03-02,2026-03,2344
TP,2275.06,5,5,2026-03-02,2026-03,2344
TP,2275.06,5,10,2026-03-02,2026-03,2344
TP,2275.06,5,15,2026-03-02,2026-03,2344
TIMEOUT,1775.06,8,5,2026-03-02,2026-03,2344
TIMEOUT,2775.06,8,10,2026-03-02,2026-03,2344
TP,3775.06,8,15,2026-03-02,2026-03,2344
TP,165.524,1,5,2026-03-02,2026-03,1513
TP,165.524,1,10,2026-03-02,2026-03,1513
TP,165.524,1,15,2026-03-02,2026-03,1513
TP,665.524,2,5,2026-03-02,2026-03,1513
TP,665.524,2,10,2026-03-02,2026-03,1513
TP,665.524,2,15,2026-03-02,2026-03,1513
TP,1165.524,3,5,2026-03-02,2026-03,1513
TP,1165.524,3,10,2026-03-02,2026-03,1513
TP,1165.524,3,15,2026-03-02,2026-03,1513
TIMEOUT,665.524,5,5,2026-03-02,2026-03,1513
TP,2165.524,5,10,2026-03-02,2026-03,1513
TP,2165.524,5,15,2026-03-02,2026-03,1513
TIMEOUT,665.524,8,5,2026-03-02,2026-03,1513
TIMEOUT,1665.524,8,10,2026-03-02,2026-03,1513
TP,3665.524,8,15,2026-03-02,2026-03,1513
TP,196.82000000000005,1,5,2026-03-02,2026-03,1773
TP,196.82000000000005,1,10,2026-03-02,2026-03,1773
TP,196.82000000000005,1,15,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,2,5,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,2,10,2026-03-02,2026-03,1773
TP,696.82,2,15,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,3,5,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,3,10,2026-03-02,2026-03,1773
TP,1196.8200000000002,3,15,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,5,5,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,5,10,2026-03-02,2026-03,1773
TIMEOUT,1696.8200000000002,5,15,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,8,5,2026-03-02,2026-03,1773
TIMEOUT,-303.17999999999995,8,10,2026-03-02,2026-03,1773
TIMEOUT,1696.8200000000002,8,15,2026-03-02,2026-03,1773
TP,141.074,1,5,2026-03-02,2026-03,2645
TP,141.074,1,10,2026-03-02,2026-03,2645
TP,141.074,1,15,2026-03-02,2026-03,2645
TP,641.0740000000001,2,5,2026-03-02,2026-03,2645
TP,641.0740000000001,2,10,2026-03-02,2026-03,2645
TP,641.0740000000001,2,15,2026-03-02,2026-03,2645
TP,1141.074,3,5,2026-03-02,2026-03,2645
TP,1141.074,3,10,2026-03-02,2026-03,2645
TP,1141.074,3,15,2026-03-02,2026-03,2645
TP,2141.074,5,5,2026-03-02,2026-03,2645
TP,2141.074,5,10,2026-03-02,2026-03,2645
TP,2141.074,5,15,2026-03-02,2026-03,2645
TIMEOUT,-3858.926,8,5,2026-03-02,2026-03,2645
TIMEOUT,-5358.926,8,10,2026-03-02,2026-03,2645
TIMEOUT,-7358.926,8,15,2026-03-02,2026-03,2645
TP,183.128,1,5,2026-03-02,2026-03,6919
TP,183.128,1,10,2026-03-02,2026-03,6919
TP,183.128,1,15,2026-03-02,2026-03,6919
TP,683.1279999999999,2,5,2026-03-02,2026-03,6919
TP,683.1279999999999,2,10,2026-03-02,2026-03,6919
TP,683.1279999999999,2,15,2026-03-02,2026-03,6919
TIMEOUT,-816.8720000000001,3,5,2026-03-02,2026-03,6919
TIMEOUT,-316.872,3,10,2026-03-02,2026-03,6919
TIMEOUT,-816.8720000000001,3,15,2026-03-02,2026-03,6919
TIMEOUT,-816.8720000000001,5,5,2026-03-02,2026-03,6919
TIMEOUT,-316.872,5,10,2026-03-02,2026-03,6919
TIMEOUT,-816.8720000000001,5,15,2026-03-02,2026-03,6919
TIMEOUT,-816.8720000000001,8,5,2026-03-02,2026-03,6919
TIMEOUT,-316.872,8,10,2026-03-02,2026-03,6919
TIMEOUT,-816.8720000000001,8,15,2026-03-02,2026-03,6919
TP,293.64200000000005,1,5,2026-03-02,2026-03,2337
TP,293.64200000000005,1,10,2026-03-02,2026-03,2337
TP,293.64200000000005,1,15,2026-03-02,2026-03,2337
TP,793.642,2,5,2026-03-02,2026-03,2337
TP,793.642,2,10,2026-03-02,2026-03,2337
TP,793.642,2,15,2026-03-02,2026-03,2337
TP,1293.642,3,5,2026-03-02,2026-03,2337
TP,1293.642,3,10,2026-03-02,2026-03,2337
TP,1293.642,3,15,2026-03-02,2026-03,2337
TP,2293.642,5,5,2026-03-02,2026-03,2337
TP,2293.642,5,10,2026-03-02,2026-03,2337
TP,2293.642,5,15,2026-03-02,2026-03,2337
TIMEOUT,1293.642,8,5,2026-03-02,2026-03,2337
TP,3793.642,8,10,2026-03-02,2026-03,2337
TP,3793.642,8,15,2026-03-02,2026-03,2337
TP,2779.9400000000005,1,5,2026-03-02,2026-03,1590
TP,2779.9400000000005,1,10,2026-03-02,2026-03,1590
TP,2779.9400000000005,1,15,2026-03-02,2026-03,1590
TP,7779.9400000000005,2,5,2026-03-02,2026-03,1590
TP,7779.9400000000005,2,10,2026-03-02,2026-03,1590
TP,7779.9400000000005,2,15,2026-03-02,2026-03,1590
TP,12779.94,3,5,2026-03-02,2026-03,1590
TP,12779.94,3,10,2026-03-02,2026-03,1590
TP,12779.94,3,15,2026-03-02,2026-03,1590
TP,22779.940000000002,5,5,2026-03-02,2026-03,1590
TP,22779.940000000002,5,10,2026-03-02,2026-03,1590
TP,22779.940000000002,5,15,2026-03-02,2026-03,1590
TP,37779.94,8,5,2026-03-02,2026-03,1590
TP,37779.94,8,10,2026-03-02,2026-03,1590
TP,37779.94,8,15,2026-03-02,2026-03,1590
TP,261.36800000000005,1,5,2026-03-02,2026-03,2385
TP,261.36800000000005,1,10,2026-03-02,2026-03,2385
TP,261.36800000000005,1,15,2026-03-02,2026-03,2385
TP,761.368,2,5,2026-03-02,2026-03,2385
TP,761.368,2,10,2026-03-02,2026-03,2385
TP,761.368,2,15,2026-03-02,2026-03,2385
TP,1261.368,3,5,2026-03-02,2026-03,2385
TP,1261.368,3,10,2026-03-02,2026-03,2385
TP,1261.368,3,15,2026-03-02,2026-03,2385
TIMEOUT,1261.368,5,5,2026-03-02,2026-03,2385
TIMEOUT,1761.368,5,10,2026-03-02,2026-03,2385
TP,2261.368,5,15,2026-03-02,2026-03,2385
TIMEOUT,1261.368,8,5,2026-03-02,2026-03,2385
TIMEOUT,1761.368,8,10,2026-03-02,2026-03,2385
TIMEOUT,1761.368,8,15,2026-03-02,2026-03,2385
TP,2740.82,1,5,2026-03-02,2026-03,6781
TP,2740.82,1,10,2026-03-02,2026-03,6781
TP,2740.82,1,15,2026-03-02,2026-03,6781
TP,7740.82,2,5,2026-03-02,2026-03,6781
TP,7740.82,2,10,2026-03-02,2026-03,6781
TP,7740.82,2,15,2026-03-02,2026-03,6781
TIMEOUT,2740.82,3,5,2026-03-02,2026-03,6781
TIMEOUT,7740.82,3,10,2026-03-02,2026-03,6781
