result,pnl,tick,time_window,entry,date,month
TP,-134.48000000000002,1,5,580.0,2024-01-04,2024-01
TP,-134.48000000000002,1,10,580.0,2024-01-04,2024-01
TP,-134.48000000000002,1,15,580.0,2024-01-04,2024-01
TP,-134.48000000000002,1,20,580.0,2024-01-04,2024-01
TP,-134.48000000000002,1,30,580.0,2024-01-04,2024-01
TIMEOUT,-134.48000000000002,2,5,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,2,10,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,2,15,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,2,20,580.0,2024-01-04,2024-01
TIMEOUT,-3134.48,2,30,580.0,2024-01-04,2024-01
TIMEOUT,-134.48000000000002,3,5,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,3,10,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,3,15,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,3,20,580.0,2024-01-04,2024-01
TIMEOUT,-3134.48,3,30,580.0,2024-01-04,2024-01
TIMEOUT,-134.48000000000002,5,5,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,5,10,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,5,15,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,5,20,580.0,2024-01-04,2024-01
TIMEOUT,-3134.48,5,30,580.0,2024-01-04,2024-01
TIMEOUT,-134.48000000000002,8,5,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,8,10,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,8,15,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,8,20,580.0,2024-01-04,2024-01
TIMEOUT,-3134.48,8,30,580.0,2024-01-04,2024-01
TIMEOUT,-134.48000000000002,10,5,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,10,10,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,10,15,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,10,20,580.0,2024-01-04,2024-01
TIMEOUT,-3134.48,10,30,580.0,2024-01-04,2024-01
TIMEOUT,-134.48000000000002,15,5,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,15,10,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,15,15,580.0,2024-01-04,2024-01
TIMEOUT,-1134.48,15,20,580.0,2024-01-04,2024-01
TIMEOUT,-3134.48,15,30,580.0,2024-01-04,2024-01
TIMEOUT,-2138.392,1,5,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,1,10,582.0,2024-01-08,2024-01
TIMEOUT,-3138.392,1,15,582.0,2024-01-08,2024-01
TIMEOUT,-1138.3919999999998,1,20,582.0,2024-01-08,2024-01
TP,-138.39199999999983,1,30,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,2,5,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,2,10,582.0,2024-01-08,2024-01
TIMEOUT,-3138.392,2,15,582.0,2024-01-08,2024-01
TIMEOUT,-1138.3919999999998,2,20,582.0,2024-01-08,2024-01
TIMEOUT,-138.39199999999983,2,30,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,3,5,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,3,10,582.0,2024-01-08,2024-01
TIMEOUT,-3138.392,3,15,582.0,2024-01-08,2024-01
TIMEOUT,-1138.3919999999998,3,20,582.0,2024-01-08,2024-01
TIMEOUT,-138.39199999999983,3,30,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,5,5,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,5,10,582.0,2024-01-08,2024-01
TIMEOUT,-3138.392,5,15,582.0,2024-01-08,2024-01
TIMEOUT,-1138.3919999999998,5,20,582.0,2024-01-08,2024-01
TIMEOUT,-138.39199999999983,5,30,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,8,5,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,8,10,582.0,2024-01-08,2024-01
TIMEOUT,-3138.392,8,15,582.0,2024-01-08,2024-01
TIMEOUT,-1138.3919999999998,8,20,582.0,2024-01-08,2024-01
TIMEOUT,-138.39199999999983,8,30,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,10,5,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,10,10,582.0,2024-01-08,2024-01
TIMEOUT,-3138.392,10,15,582.0,2024-01-08,2024-01
TIMEOUT,-1138.3919999999998,10,20,582.0,2024-01-08,2024-01
TIMEOUT,-138.39199999999983,10,30,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,15,5,582.0,2024-01-08,2024-01
TIMEOUT,-2138.392,15,10,582.0,2024-01-08,2024-01
TIMEOUT,-3138.392,15,15,582.0,2024-01-08,2024-01
